flancerId,skills,favouriteProject,rating,experience
FL1959,"['ocr', 'smm', 'seo', 'blog-writing', 'node']",Designing RESTful APIs and microservices for SaaS solutions.,4.9,5
FL1960,"['creative-writing', 'spark', 'docker', 'solidworks', 'swift', 'c++']",Migrating legacy systems to AWS cloud infrastructure.,4.4,11
FL1961,"['customer-support', 'kubernetes', 'grant-writing', 'editing', 'html', 'translation', 'adobe-xd']",Designing RESTful APIs and microservices for SaaS solutions.,4.2,7
FL1962,"['bash', 'branding', 'linux', 'flask', 'solidworks', 'bookkeeping', 'live-chat-support']",Migrating legacy systems to AWS cloud infrastructure.,4.4,4
FL1963,"['crm-support', 'storyboarding', 'typescript', 'machine-learning', 'html', '3d-modeling', 'llm']",Implementing CI/CD pipelines for enterprise web applications.,4.6,13
FL1964,"['ppc', 'chatbot', 'gcp', 'bim', 'prompt-engineering', 'python']",Developing a scalable e-commerce platform with integrated payment gateways.,4.7,8
FL1965,"['tax-preparation', 'ocr', 'php', '3d-rendering', 'crm-support', 'customer-support', 'javascript']",Developing a scalable e-commerce platform with integrated payment gateways.,4.6,13
FL1966,"['docker', 'lead-generation', 'linux', 'keras']",Implementing CI/CD pipelines for enterprise web applications.,4.3,5
FL1967,"['animation', 'virtual-assistant', 'spark', 'keras', 'illustrator', 'react']",Migrating legacy systems to AWS cloud infrastructure.,4.1,8
FL1968,"['3d-modeling', 'aws', 'bim', 'data-entry']",Migrating legacy systems to AWS cloud infrastructure.,4.1,6
FL1969,"['docker', 'payroll', 'machine-learning', 'chatbot', 'java', 'bookkeeping']",Developing a scalable e-commerce platform with integrated payment gateways.,4.1,9
FL1970,"['sql', 'order-processing', 'customer-support', 'market-research', 'angular', 'financial-analysis', 'copywriting']",Building a secure mobile banking app for Android and iOS.,5.0,3
FL1971,"['crm-support', 'email-marketing', 'kubernetes', 'react', 'bim', 'ui-ux', 'cv']",Developing a scalable e-commerce platform with integrated payment gateways.,4.6,12
FL1972,"['nosql', 'order-processing', 'ppc', 'storyboarding', 'data-entry']",Migrating legacy systems to AWS cloud infrastructure.,2.1,15
FL1973,"['swift', 'proofreading', 'sql', 'django', '3d-rendering']",Designing RESTful APIs and microservices for SaaS solutions.,4.7,11
FL1974,"['tax-preparation', 'content-marketing', 'revit', 'seo']",Implementing CI/CD pipelines for enterprise web applications.,4.3,1
FL1975,"['machine-learning', 'bim', '3d-rendering']",Building a secure mobile banking app for Android and iOS.,4.2,8
FL1976,"['data-annotation', 'logo-design', 'tax-preparation', 'pytorch', 'figma', 'node', 'java']",Developing a scalable e-commerce platform with integrated payment gateways.,3.9,15
FL1977,"['data-entry', 'content-marketing', 'swift', 'virtual-assistant']",Coordinating travel arrangements and event scheduling for executives.,5.0,8
FL1978,"['civil-engineering', 'crm', 'resume-writing']",Designing RESTful APIs and microservices for SaaS solutions.,4.9,12
FL1979,"['proofreading', 'tax-preparation', 'photoshop', 'rust', 'calendar-management', 'sql', 'virtual-assistant']",Developing a scalable e-commerce platform with integrated payment gateways.,3.7,3
FL1980,"['tensorflow', 'adobe-xd', 'data-entry']",Processing online orders and handling customer inquiries for an e-commerce store.,4.5,13
FL1981,"['mechanical-engineering', 'rust', 'illustrator', 'excel', 'copywriting', 'email-marketing']",Designing RESTful APIs and microservices for SaaS solutions.,3.5,1
FL1982,"['order-processing', 'seo', 'tax-preparation', 'c#', 'ruby', 'grant-writing']",Migrating legacy systems to AWS cloud infrastructure.,3.2,0
FL1983,"['flask', 'llm', 'video-editing', 'c#', '3d-rendering']",Implementing CI/CD pipelines for enterprise web applications.,3.8,8
FL1984,"['solidworks', 'illustrator', 'figma', 'keras', 'machine-learning']",Developing packaging designs for a new product line.,4.8,1
FL1985,"['email-marketing', 'revit', 'bookkeeping', 'nlp', 'linux']",Migrating legacy systems to AWS cloud infrastructure.,4.9,10
FL1986,"['illustrator', 'devops', 'content-marketing', 'django', 'data-annotation', 'figma']",Designing RESTful APIs and microservices for SaaS solutions.,4.6,7
FL1987,"['ocr', 'flask', 'bim', 'django', 'bookkeeping']",Implementing CI/CD pipelines for enterprise web applications.,4.7,10
FL1988,"['content-marketing', 'bookkeeping', 'etl', 'photoshop', 'typescript', 'nlp', 'civil-engineering']",Implementing CI/CD pipelines for enterprise web applications.,4.6,11
FL1989,"['copywriting', 'adobe-xd', 'linux', 'bash', 'chatbot']",Developing a scalable e-commerce platform with integrated payment gateways.,3.8,3
FL1990,"['data-entry', 'ocr', 'affiliate-marketing', 'revit']",Designing RESTful APIs and microservices for SaaS solutions.,4.5,9
FL1991,"['translation', 'devops', 'animation', 'live-chat-support', 'revit', 'react', 'typescript']",Developing a scalable e-commerce platform with integrated payment gateways.,4.8,2
FL1992,"['financial-analysis', '3d-modeling', 'nlp', 'docker', 'mechanical-engineering', 'ui-ux', 'translation']",Building a secure mobile banking app for Android and iOS.,4.7,12
FL1993,"['indesign', 'sql', 'llm', 'crm-support']",Designing RESTful APIs and microservices for SaaS solutions.,5.0,2
FL1994,"['swift', 'copywriting', 'rust', 'keras', 'blog-writing']",Migrating legacy systems to AWS cloud infrastructure.,4.7,8
FL1995,"['content-marketing', 'swift', 'autocad']",Migrating legacy systems to AWS cloud infrastructure.,4.4,7
FL1996,"['copywriting', 'excel', 'ruby', 'docker']",Developing a scalable e-commerce platform with integrated payment gateways.,4.9,9
FL1997,"['c++', 'crm-support', 'lead-generation', 'copywriting']",Implementing CI/CD pipelines for enterprise web applications.,4.2,6
FL1998,"['etl', 'proofreading', 'data-entry', '3d-modeling', 'order-processing', 'localization']",Implementing CI/CD pipelines for enterprise web applications.,3.6,8
FL1999,"['nlp', 'seo', 'branding', 'adobe-xd', 'tensorflow']",Building a secure mobile banking app for Android and iOS.,4.1,11
FL2000,"['autocad', 'gcp', 'chatbot']",Migrating legacy systems to AWS cloud infrastructure.,3.7,4
FL2001,"['affiliate-marketing', 'civil-engineering', 'market-research']",Designing RESTful APIs and microservices for SaaS solutions.,3.7,10
FL2002,"['calendar-management', 'angular', 'bim']",Building a secure mobile banking app for Android and iOS.,4.1,7
FL2003,"['cv', 'localization', 'html', 'email-marketing', 'live-chat-support', 'copywriting']",Implementing CI/CD pipelines for enterprise web applications.,3.6,13
FL2004,"['bash', 'c++', 'resume-writing']",Implementing CI/CD pipelines for enterprise web applications.,4.0,1
FL2005,"['lead-generation', 'civil-engineering', 'docker', 'javascript', 'solidworks']",Building a secure mobile banking app for Android and iOS.,2.9,2
FL2006,"['grant-writing', 'pytorch', '3d-rendering', 'c#', 'mechanical-engineering']",Designing RESTful APIs and microservices for SaaS solutions.,4.3,15
FL2007,"['civil-engineering', 'gcp', 'animation', 'ruby', 'financial-analysis', 'smm']",Building a secure mobile banking app for Android and iOS.,4.2,9
FL2008,"['angular', 'grant-writing', 'creative-writing', 'video-editing', 'docker']",Designing RESTful APIs and microservices for SaaS solutions.,3.6,10
FL2009,"['crm-support', 'html', 'mechanical-engineering']",Building a secure mobile banking app for Android and iOS.,4.7,3
FL2010,"['crm-support', 'javascript', 'editing']",Implementing CI/CD pipelines for enterprise web applications.,4.9,5
FL2011,"['keras', 'customer-support', 'devops', 'etl']",Developing a scalable e-commerce platform with integrated payment gateways.,3.1,15
FL2012,"['data-annotation', 'django', 'flask']",Implementing CI/CD pipelines for enterprise web applications.,3.7,12
FL2013,"['photoshop', 'revit', 'market-research', 'gcp', 'ui-ux', 'etl']",Developing a scalable e-commerce platform with integrated payment gateways.,3.7,9
FL2014,"['devops', 'civil-engineering', 'seo', 'pytorch', 'content-marketing']",Developing a scalable e-commerce platform with integrated payment gateways.,3.5,5
FL2015,"['3d-modeling', 'typescript', 'angular', 'illustrator', 'excel']",Developing a scalable e-commerce platform with integrated payment gateways.,4.8,10
FL2016,"['flask', 'editing', 'pytorch', 'c++', 'calendar-management', 'css']",Designing RESTful APIs and microservices for SaaS solutions.,4.1,1
FL2017,"['flask', 'bash', 'python', 'editing', 'java']",Developing a scalable e-commerce platform with integrated payment gateways.,4.0,10
FL2018,"['ocr', 'c#', 'grant-writing', 'branding', 'javascript', 'devops']",Migrating legacy systems to AWS cloud infrastructure.,2.8,15
FL2019,"['translation', 'ruby', 'illustrator', 'flask']",Migrating legacy systems to AWS cloud infrastructure.,4.6,11
FL2020,"['devops', 'copywriting', 'civil-engineering', 'affiliate-marketing', 'kubernetes', 'c#', 'live-chat-support']",Developing a scalable e-commerce platform with integrated payment gateways.,3.3,3
FL2021,"['llm', 'sql', 'illustrator', 'solidworks', 'etl']",Designing RESTful APIs and microservices for SaaS solutions.,4.2,5
FL2022,"['content-marketing', 'spark', 'calendar-management']",Migrating legacy systems to AWS cloud infrastructure.,4.4,10
FL2023,"['financial-analysis', 'blog-writing', 'indesign', 'smm', 'nosql', 'tax-preparation']",Designing RESTful APIs and microservices for SaaS solutions.,5.0,2
FL2024,"['keras', 'adobe-xd', 'docker', 'tensorflow', 'crm']",Migrating legacy systems to AWS cloud infrastructure.,3.3,12
FL2025,"['figma', 'css', 'lead-generation']",Designing RESTful APIs and microservices for SaaS solutions.,2.1,3
FL2026,"['django', 'financial-analysis', 'quickbooks', 'chatbot', 'editing', 'grant-writing', 'localization']",Designing RESTful APIs and microservices for SaaS solutions.,4.3,12
FL2027,"['excel', 'typescript', 'deep-learning', 'chatbot', 'gcp', 'smm', 'llm']",Implementing CI/CD pipelines for enterprise web applications.,5.0,12
FL2028,"['photoshop', 'node', 'crm', 'c#', 'sql', 'chatbot']",Designing RESTful APIs and microservices for SaaS solutions.,5.0,15
FL2029,"['indesign', 'ocr', 'content-marketing', 'deep-learning', 'solidworks', 'revit', 'css']",Designing RESTful APIs and microservices for SaaS solutions.,4.3,1
FL2030,"['django', 'ocr', 'virtual-assistant', 'localization']",Designing RESTful APIs and microservices for SaaS solutions.,3.9,5
FL2031,"['html', 'translation', 'c#', 'prompt-engineering', 'indesign']",Migrating legacy systems to AWS cloud infrastructure.,4.8,11
FL2032,"['html', 'solidworks', 'seo', 'creative-writing', 'editing', 'devops', 'branding']",Developing a scalable e-commerce platform with integrated payment gateways.,3.5,6
FL2033,"['email-marketing', 'etl', 'swift']",Building a secure mobile banking app for Android and iOS.,4.5,2
FL2034,"['content-marketing', 'php', 'localization', 'bookkeeping']",Designing RESTful APIs and microservices for SaaS solutions.,4.6,0
FL2035,"['photoshop', 'php', 'autocad']",Developing a scalable e-commerce platform with integrated payment gateways.,4.9,9
FL2036,"['tensorflow', 'financial-analysis', 'data-annotation']",Migrating legacy systems to AWS cloud infrastructure.,5.0,12
FL2037,"['branding', '3d-modeling', 'rust', 'kubernetes']",Migrating legacy systems to AWS cloud infrastructure.,4.5,7
FL2038,"['tax-preparation', 'nlp', 'storyboarding', 'solidworks', 'localization', 'civil-engineering', 'order-processing']",Building a secure mobile banking app for Android and iOS.,3.8,6
FL2039,"['video-editing', 'autocad', 'java', 'logo-design', 'photoshop']",Building a secure mobile banking app for Android and iOS.,4.2,6
FL2040,"['pytorch', 'customer-support', 'java', 'order-processing', 'autocad', 'animation']",Developing a scalable e-commerce platform with integrated payment gateways.,3.0,14
FL2041,"['financial-analysis', 'autocad', 'swift', 'react']",Developing a scalable e-commerce platform with integrated payment gateways.,3.7,3
FL2042,"['crm', 'javascript', 'etl', 'translation']",Building a secure mobile banking app for Android and iOS.,3.9,5
FL2043,"['solidworks', 'mechanical-engineering', 'autocad', 'animation', 'deep-learning']",Designing RESTful APIs and microservices for SaaS solutions.,3.8,9
FL2044,"['grant-writing', 'nlp', 'sql', 'aws', 'animation']",Migrating legacy systems to AWS cloud infrastructure.,4.3,2
FL2045,"['content-marketing', 'typescript', 'azure', 'proofreading', 'go', 'market-research', 'lead-generation']",Developing a scalable e-commerce platform with integrated payment gateways.,3.6,3
FL2046,"['go', 'indesign', 'etl', 'node']",Developing a scalable e-commerce platform with integrated payment gateways.,5.0,7
FL2047,"['crm-support', 'branding', 'copywriting', 'docker', 'customer-support', 'rust']",Designing RESTful APIs and microservices for SaaS solutions.,4.2,6
FL2048,"['bim', 'speech-recognition', 'rust', 'grant-writing']",Developing a scalable e-commerce platform with integrated payment gateways.,4.2,4
FL2049,"['pytorch', 'devops', 'illustrator', 'ppc', 'typescript']",Developing a scalable e-commerce platform with integrated payment gateways.,4.0,12
FL2050,"['kubernetes', 'llm', 'affiliate-marketing', 'javascript', 'swift', 'etl']",Migrating legacy systems to AWS cloud infrastructure.,4.3,10
FL2051,"['c#', 'copywriting', 'javascript', 'keras', 'calendar-management', 'editing']",Building a secure mobile banking app for Android and iOS.,4.8,5
FL2052,"['blog-writing', 'speech-recognition', 'css', 'nosql']",Developing a scalable e-commerce platform with integrated payment gateways.,3.6,13
FL2053,"['translation', 'c++', 'live-chat-support', 'bim', 'bash', 'chatbot', 'branding']",Developing a scalable e-commerce platform with integrated payment gateways.,3.7,4
FL2054,"['solidworks', 'angular', 'python']",Implementing CI/CD pipelines for enterprise web applications.,4.0,0
FL2055,"['css', 'indesign', 'grant-writing', 'aws', 'swift', 'order-processing', 'go']",Designing RESTful APIs and microservices for SaaS solutions.,3.3,2
FL2056,"['quickbooks', 'market-research', 'localization']",Implementing CI/CD pipelines for enterprise web applications.,3.6,9
FL2057,"['indesign', 'smm', 'tensorflow', 'solidworks', 'crm', 'crm-support', 'pytorch']",Building a secure mobile banking app for Android and iOS.,3.9,14
FL2058,"['kubernetes', 'email-marketing', 'translation', 'adobe-xd', 'swift', 'docker']",Building a secure mobile banking app for Android and iOS.,4.8,5
FL2059,"['pytorch', 'linux', 'branding', 'c++', 'seo', 'prompt-engineering']",Migrating legacy systems to AWS cloud infrastructure.,4.4,1
FL2060,"['video-editing', 'civil-engineering', 'technical-writing', 'angular', '3d-modeling', 'azure']",Building a secure mobile banking app for Android and iOS.,4.3,6
FL2061,"['logo-design', 'email-marketing', '3d-rendering', 'smm', 'copywriting', 'indesign']",Implementing CI/CD pipelines for enterprise web applications.,4.8,11
FL2062,"['chatbot', 'tax-preparation', '3d-modeling', 'gcp', 'bim']",Designing RESTful APIs and microservices for SaaS solutions.,4.1,6
FL2063,"['ruby', 'mechanical-engineering', 'spark', 'grant-writing']",Migrating legacy systems to AWS cloud infrastructure.,4.5,11
FL2064,"['blog-writing', 'video-editing', 'branding', 'excel', 'ocr', 'ruby']",Implementing CI/CD pipelines for enterprise web applications.,4.1,4
FL2065,"['sql', 'technical-writing', 'quickbooks', 'smm', 'prompt-engineering', 'live-chat-support']",Implementing CI/CD pipelines for enterprise web applications.,4.4,1
FL2066,"['ruby', 'ui-ux', 'blog-writing', 'linux']",Implementing CI/CD pipelines for enterprise web applications.,3.8,13
FL2067,"['copywriting', 'c#', 'autocad', 'php']",Implementing CI/CD pipelines for enterprise web applications.,2.5,5
FL2068,"['solidworks', 'grant-writing', 'kubernetes', 'excel', '3d-modeling']",Designing RESTful APIs and microservices for SaaS solutions.,4.1,6
FL2069,"['video-editing', 'speech-recognition', 'ppc', 'keras']",Migrating legacy systems to AWS cloud infrastructure.,5.0,15
FL2070,"['crm-support', 'editing', 'order-processing', 'go', 'payroll']",Developing a scalable e-commerce platform with integrated payment gateways.,4.8,2
FL2071,"['c++', 'java', 'html']",Building a secure mobile banking app for Android and iOS.,4.9,2
FL2072,"['figma', 'typescript', 'kubernetes', 'ruby', 'ocr']",Developing a scalable e-commerce platform with integrated payment gateways.,5.0,11
FL2073,"['speech-recognition', 'data-entry', 'smm', 'market-research', 'ui-ux', 'civil-engineering', 'devops']",Building a secure mobile banking app for Android and iOS.,4.3,9
FL2074,"['resume-writing', 'linux', 'kubernetes']",Migrating legacy systems to AWS cloud infrastructure.,4.3,13
FL2075,"['translation', 'live-chat-support', 'video-editing']",Migrating legacy systems to AWS cloud infrastructure.,3.8,15
FL2076,"['autocad', 'keras', 'nosql', 'financial-analysis', 'docker']",Implementing CI/CD pipelines for enterprise web applications.,4.0,3
FL2077,"['gcp', 'photoshop', 'market-research']",Implementing CI/CD pipelines for enterprise web applications.,4.6,15
FL2078,"['c++', 'virtual-assistant', 'autocad', 'adobe-xd']",Implementing CI/CD pipelines for enterprise web applications.,5.0,5
FL2079,"['c++', 'crm', 'tax-preparation', 'grant-writing', 'illustrator', 'ui-ux']",Developing a scalable e-commerce platform with integrated payment gateways.,4.1,11
FL2080,"['devops', 'gcp', 'live-chat-support']",Building a secure mobile banking app for Android and iOS.,3.9,12
FL2081,"['nosql', 'tax-preparation', 'typescript', 'bookkeeping']",Building a secure mobile banking app for Android and iOS.,4.2,9
FL2082,"['figma', 'calendar-management', 'content-marketing']",Developing a scalable e-commerce platform with integrated payment gateways.,4.6,13
FL2083,"['adobe-xd', 'pytorch', 'spark', 'creative-writing']",Building a secure mobile banking app for Android and iOS.,3.2,0
FL2084,"['speech-recognition', 'bash', 'html', 'quickbooks', 'tensorflow', 'revit']",Building a secure mobile banking app for Android and iOS.,2.6,8
FL2085,"['seo', 'ui-ux', 'rust', 'cv', 'financial-analysis', 'email-marketing']",Developing a scalable e-commerce platform with integrated payment gateways.,3.8,10
FL2086,"['go', 'azure', 'live-chat-support', 'java', 'localization', 'c++', 'prompt-engineering']",Implementing CI/CD pipelines for enterprise web applications.,3.3,6
FL2087,"['photoshop', 'indesign', 'go', 'autocad', 'payroll', 'cv']",Implementing CI/CD pipelines for enterprise web applications.,3.8,10
FL2088,"['creative-writing', 'storyboarding', 'video-editing', 'civil-engineering', 'ui-ux']",Migrating legacy systems to AWS cloud infrastructure.,4.1,11
FL2089,"['blog-writing', 'spark', 'crm', 'deep-learning', 'cv']",Developing a scalable e-commerce platform with integrated payment gateways.,3.9,14
FL2090,"['tax-preparation', 'speech-recognition', 'creative-writing']",Developing a scalable e-commerce platform with integrated payment gateways.,5.0,0
FL2091,"['sql', 'keras', 'react', 'devops']",Building a secure mobile banking app for Android and iOS.,4.4,2
FL2092,"['localization', 'tensorflow', 'django', 'react']",Developing a scalable e-commerce platform with integrated payment gateways.,4.4,0
FL2093,"['live-chat-support', 'react', 'kubernetes', 'data-entry', 'order-processing']",Implementing CI/CD pipelines for enterprise web applications.,4.6,10
FL2094,"['crm-support', 'aws', 'css']",Migrating legacy systems to AWS cloud infrastructure.,3.4,6
FL2095,"['etl', 'django', 'mechanical-engineering']",Developing a scalable e-commerce platform with integrated payment gateways.,4.9,0
FL2096,"['solidworks', 'angular', 'php', 'html', 'mechanical-engineering', 'node']",Implementing CI/CD pipelines for enterprise web applications.,4.1,10
FL2097,"['spark', 'market-research', 'typescript', 'civil-engineering', 'content-marketing', 'calendar-management', 'etl']",Implementing CI/CD pipelines for enterprise web applications.,4.7,9
FL2098,"['css', 'copywriting', 'etl', 'affiliate-marketing', 'python', 'node', 'devops']",Migrating legacy systems to AWS cloud infrastructure.,3.4,8
FL2099,"['technical-writing', 'localization', 'spark', 'revit']",Developing a scalable e-commerce platform with integrated payment gateways.,3.1,2
FL2100,"['etl', 'chatbot', 'angular', 'linux']",Implementing CI/CD pipelines for enterprise web applications.,4.8,9
FL2101,"['video-editing', 'affiliate-marketing', 'bookkeeping', 'deep-learning', 'ruby', 'storyboarding', 'pytorch']",Building a secure mobile banking app for Android and iOS.,4.5,7
FL2102,"['python', 'quickbooks', 'solidworks', 'pytorch', 'deep-learning', 'linux', 'javascript']",Developing a scalable e-commerce platform with integrated payment gateways.,3.6,2
FL2103,"['illustrator', '3d-rendering', 'css', 'live-chat-support', 'seo', 'node']",Implementing CI/CD pipelines for enterprise web applications.,3.6,0
FL2104,"['speech-recognition', 'virtual-assistant', 'adobe-xd']",Designing RESTful APIs and microservices for SaaS solutions.,5.0,2
FL2105,"['nlp', '3d-rendering', 'speech-recognition', 'smm', 'figma', 'lead-generation', 'branding']",Implementing CI/CD pipelines for enterprise web applications.,3.4,9
FL2106,"['speech-recognition', 'technical-writing', 'spark', 'angular', 'virtual-assistant', 'bash']",Developing a scalable e-commerce platform with integrated payment gateways.,5.0,11
FL2107,"['ppc', 'chatbot', '3d-modeling', 'smm', 'kubernetes', 'docker']",Implementing CI/CD pipelines for enterprise web applications.,3.6,13
FL2108,"['gcp', 'speech-recognition', 'photoshop']",Migrating legacy systems to AWS cloud infrastructure.,4.6,12
FL2109,"['java', 'seo', 'financial-analysis', 'devops', 'kubernetes']",Designing RESTful APIs and microservices for SaaS solutions.,4.0,5
FL2110,"['flask', 'c++', 'animation', 'market-research']",Migrating legacy systems to AWS cloud infrastructure.,4.6,8
FL2111,"['typescript', 'c++', 'content-marketing', 'animation', 'linux']",Building a secure mobile banking app for Android and iOS.,3.8,8
FL2112,"['spark', 'crm', 'calendar-management', 'bim']",Implementing CI/CD pipelines for enterprise web applications.,4.1,13
FL2113,"['linux', 'crm', 'tax-preparation', 'css', 'figma', 'sql']",Developing a scalable e-commerce platform with integrated payment gateways.,4.2,10
FL2114,"['calendar-management', 'llm', 'docker', 'tensorflow', 'proofreading', 'content-marketing']",Migrating legacy systems to AWS cloud infrastructure.,3.5,13
FL2115,"['java', 'ocr', 'order-processing', 'linux', 'ui-ux', 'solidworks']",Designing RESTful APIs and microservices for SaaS solutions.,4.7,13
FL2116,"['aws', 'customer-support', 'azure', 'editing', 'deep-learning', 'ui-ux', 'bim']",Building a secure mobile banking app for Android and iOS.,3.8,4
FL2117,"['grant-writing', 'market-research', 'javascript', 'c++', 'smm']",Building a secure mobile banking app for Android and iOS.,4.0,13
FL2118,"['php', 'chatbot', 'autocad', 'angular']",Building a secure mobile banking app for Android and iOS.,3.5,15
FL2119,"['resume-writing', 'ui-ux', 'localization', 'data-annotation', 'revit']",Migrating legacy systems to AWS cloud infrastructure.,2.4,4
FL2120,"['order-processing', 'localization', 'angular', 'civil-engineering', 'virtual-assistant']",Designing RESTful APIs and microservices for SaaS solutions.,4.1,7
FL2121,"['crm', 'grant-writing', 'market-research', 'c++']",Building a secure mobile banking app for Android and iOS.,5.0,3
FL2122,"['docker', 'live-chat-support', 'chatbot', 'node', 'editing', 'crm']",Implementing CI/CD pipelines for enterprise web applications.,4.7,8
FL2123,"['smm', 'indesign', 'spark']",Building a secure mobile banking app for Android and iOS.,4.2,4
FL2124,"['css', 'market-research', 'keras', 'swift', 'bookkeeping']",Developing a scalable e-commerce platform with integrated payment gateways.,4.0,10
FL2125,"['live-chat-support', 'lead-generation', 'resume-writing', 'docker', 'cv']",Building a secure mobile banking app for Android and iOS.,4.2,15
FL2126,"['calendar-management', 'translation', 'typescript', 'excel', 'spark']",Designing RESTful APIs and microservices for SaaS solutions.,4.6,3
FL2127,"['3d-rendering', 'css', 'spark', 'editing', 'affiliate-marketing']",Building a secure mobile banking app for Android and iOS.,3.4,7
FL2128,"['storyboarding', 'revit', 'java', 'prompt-engineering', 'nlp', 'php']",Migrating legacy systems to AWS cloud infrastructure.,5.0,9
FL2129,"['c#', 'quickbooks', 'excel']",Implementing CI/CD pipelines for enterprise web applications.,4.7,2
FL2130,"['ppc', 'docker', 'smm', 'order-processing', 'photoshop']",Designing RESTful APIs and microservices for SaaS solutions.,4.7,5
FL2131,"['copywriting', 'speech-recognition', 'sql', 'machine-learning', 'email-marketing', 'typescript', 'civil-engineering']",Designing RESTful APIs and microservices for SaaS solutions.,4.5,14
FL2132,"['linux', 'virtual-assistant', 'azure', 'chatbot', 'c++']",Developing a scalable e-commerce platform with integrated payment gateways.,4.2,1
FL2133,"['blog-writing', 'lead-generation', 'branding', 'docker', 'speech-recognition']",Implementing CI/CD pipelines for enterprise web applications.,4.7,0
FL2134,"['excel', 'chatbot', 'animation', 'devops', 'crm-support', 'go']",Building a secure mobile banking app for Android and iOS.,4.6,10
FL2135,"['grant-writing', 'rust', 'creative-writing', 'css', 'bim', 'mechanical-engineering', 'azure']",Implementing CI/CD pipelines for enterprise web applications.,4.0,2
FL2136,"['gcp', 'kubernetes', 'sql']",Designing RESTful APIs and microservices for SaaS solutions.,3.8,5
FL2137,"['django', 'adobe-xd', 'figma', 'ui-ux']",Developing a scalable e-commerce platform with integrated payment gateways.,4.3,13
FL2138,"['javascript', 'content-marketing', '3d-modeling', 'technical-writing', 'css']",Designing RESTful APIs and microservices for SaaS solutions.,5.0,13
FL2139,"['autocad', 'kubernetes', 'blog-writing', 'django', 'php', 'smm']",Migrating legacy systems to AWS cloud infrastructure.,3.3,3
FL2140,"['angular', 'tensorflow', 'css', 'excel', 'solidworks']",Designing RESTful APIs and microservices for SaaS solutions.,3.2,0
FL2141,"['excel', 'revit', 'swift']",Implementing CI/CD pipelines for enterprise web applications.,4.3,1
FL2142,"['swift', 'angular', 'kubernetes']",Migrating legacy systems to AWS cloud infrastructure.,4.2,10
FL2143,"['indesign', 'bookkeeping', 'tax-preparation', 'animation', 'c++']",Designing RESTful APIs and microservices for SaaS solutions.,4.3,9
FL2144,"['c#', 'tax-preparation', 'mechanical-engineering', 'revit', 'logo-design', 'blog-writing']",Developing a scalable e-commerce platform with integrated payment gateways.,4.4,1
FL2145,"['virtual-assistant', 'go', 'php', 'angular']",Designing RESTful APIs and microservices for SaaS solutions.,4.0,15
FL2146,"['illustrator', 'revit', 'node']",Designing RESTful APIs and microservices for SaaS solutions.,5.0,11
FL2147,"['bash', 'animation', 'ruby', 'kubernetes', 'translation', 'python', 'order-processing']",Designing RESTful APIs and microservices for SaaS solutions.,3.1,9
FL2148,"['resume-writing', 'branding', 'creative-writing', 'indesign', 'linux']",Migrating legacy systems to AWS cloud infrastructure.,3.6,8
FL2149,"['typescript', 'chatbot', 'nlp', 'animation', 'aws']",Building a secure mobile banking app for Android and iOS.,4.1,14
FL2150,"['smm', 'calendar-management', 'quickbooks']",Designing RESTful APIs and microservices for SaaS solutions.,3.0,12
FL2151,"['etl', 'nosql', 'rust', 'indesign']",Developing a scalable e-commerce platform with integrated payment gateways.,4.1,6
FL2152,"['grant-writing', 'prompt-engineering', 'autocad', 'payroll']",Migrating legacy systems to AWS cloud infrastructure.,5.0,9
FL2153,"['ppc', 'html', 'excel', 'order-processing', 'angular']",Designing RESTful APIs and microservices for SaaS solutions.,4.2,8
FL2154,"['creative-writing', 'c#', 'ocr', 'java']",Migrating legacy systems to AWS cloud infrastructure.,4.4,5
FL2155,"['php', 'content-marketing', 'bim', 'indesign', 'chatbot']",Implementing CI/CD pipelines for enterprise web applications.,3.3,12
FL2156,"['bash', 'crm', 'lead-generation', 'resume-writing', 'customer-support', 'deep-learning', 'tax-preparation']",Migrating legacy systems to AWS cloud infrastructure.,3.8,2
FL2157,"['sql', 'python', 'c#', 'live-chat-support', 'html', 'java', 'machine-learning']",Developing a scalable e-commerce platform with integrated payment gateways.,3.9,9
FL2158,"['photoshop', '3d-rendering', 'grant-writing', 'linux', 'flask', 'html']",Building a secure mobile banking app for Android and iOS.,4.0,6
FL2159,"['storyboarding', 'branding', 'react', 'machine-learning']",Implementing CI/CD pipelines for enterprise web applications.,5.0,0
FL2160,"['go', 'aws', 'prompt-engineering', 'docker', 'nlp']",Implementing CI/CD pipelines for enterprise web applications.,4.6,6
FL2161,"['bookkeeping', 'solidworks', 'c#']",Implementing CI/CD pipelines for enterprise web applications.,3.4,5
FL2162,"['nosql', 'django', 'bim']",Migrating legacy systems to AWS cloud infrastructure.,4.4,14
FL2163,"['autocad', 'resume-writing', 'cv', 'c++', 'revit', 'grant-writing', 'lead-generation']",Developing a scalable e-commerce platform with integrated payment gateways.,4.5,4
FL2164,"['javascript', 'animation', 'payroll', 'photoshop']",Developing a scalable e-commerce platform with integrated payment gateways.,5.0,1
FL2165,"['seo', 'ppc', 'video-editing', 'devops', 'java', 'localization']",Developing a scalable e-commerce platform with integrated payment gateways.,5.0,2
FL2166,"['civil-engineering', 'deep-learning', 'bim', 'lead-generation', 'typescript']",Building a secure mobile banking app for Android and iOS.,3.5,0
